target,text,indices,label,tweetID,type
crime,$t$ doesn ' t fall because the police are doing a better job . $t$ falls because society improves # BattleForNumber10,0#14,-1,581207675163246592,topic keyword
eu,"@ SLOVAKIAinUK Wow (!) Shame non - UK citizens of $t$ will not be able to vote in # GE2015 They can vote in local & $t$ elections , just not Gen .",10#26,0,581409912183480320,topic keyword
uk,"So Osborne thinks if Greece leaves Eurozone it would badly affect $t$ , # Marr should ask him what would happen if $t$ left EU # marrshow",11#22,0,564362559596556288,ne
tories,"Labour have never increased VAT , it ' s always done by $t$ .# BBCdp I didn ' t know that . Labour should shout it out . ONLY $t$ INCREASE VAT",12#29,-1,580346009445908480,party keyword
inflation,Wages only growing above $t$ cos BoE missing $t$ targets . Nothing to do with pay rises in public or private sector # bbcdp # PMQs,4#8,-1,565483982809468929,topic keyword
a&e,$t$ targets are failing because people go to $t$ with something that they can go to see their gp for .. # bbcqt,0#8,-1,573627992158703618,topic keyword
marrshow,"# $t$ Why has $t$ spent so long on terrorism without mentioning , what is happening in Gaza . Left to freeze to death by Israel .",1#4,-1,571968339880370176,ne
national health service,"' A $t$ , provided by $t$ providers ' # BattleForNumber10 # inspirational",2#6,0,581208985723920384,topic keyword
nhs,Find out if your current MP could cause harm to # our $t$ In East Dun . all # GE2015 candidates back # $t$ out of # TTIP except lib dem and tory .,12#23,1,580747459154087936,topic keyword
teachers,"# bbcdp Ridiculous proposal on child abuse , kids wont go to $t$ if they fear the $t$ will be forced to call the Police",12#17,-1,572731072078843904,topic keyword
vote,$t$ for the # Tories at the # GE2015 and you will have five more years of crippling austerity - Use your $t$ ! # GE15 http :// t . co / QMoPnQjq98,0#22,0,573891575006257153,ne
housing,"# bbcqt decent social $t$ , proper provision of suitable $t$ for the elderly , would help greatly in reducing numbers in hospitals",4#10,1,573628785926479872,topic keyword
labour,"# bbcsp it ' s dangerous for $t$ to deal with the SNP . The English will punish $t$ for a generation . Trident , increase spending etc . Bad !",7#18,-1,574528146634063872,party keyword
unemployed,@ mmaher70 so I think every $t$ person is going to have to pay the government £100 a week ? for pleasure of being $t$ ? # bbcsp,6#24,-1,579615794981654529,topic keyword
eu,# BattleForNumber10 theres years worth of work via powers signed over to # $t$ by Mr Brown ! We ' ll see UK embassies turn into $t$ ones for start !,13#26,-1,581389391819587584,topic keyword
nhs,"Need strong economy to pay for $t$ , education @ sajidjavid You want to cut $t$ , education for ideology reasons - to pay for tax cuts . # bbcqt",6#15,-1,578692692303020032,topic keyword
economy,The Tories say the only way of help the poor is to have a growing $t$ . A growing $t$ helps but it ' s hardly the ONLY way . # bbcqt,15#19,1,578693629473992704,topic keyword
india,# bbcdp Why are we giving money to $t$ & China when $t$ spends 14% on defence . Yet our shores are left poorly guarded ! # shameonyouCameron,8#12,-1,573466308727209985,ne
ftse,"""@ HLInvest : Evening Standard : $t$ 100 breaks 7000 - point barrier for first time http :// t . co / IofDhUWxKu # $t$ # FTSE100 "" # Budget2015 # GE2015",6#24,1,578966233233633280,topic keyword
dave,$t$ says we didn ' t know finances so had 2 ⬆️ vat . THEN WHY REMOVE £150k tax bracket $t$ ! Switch burden 2 poor # generalelection # LibDem,0#20,-1,581217499175383041,ne
lies,# bbcdp Pity Miss Coburn you did not ask Mr Leslie about his appearance # dispatches & Labour have raised VAT in the past .. he $t$ & $t$,26#28,-1,580364436487176192,ne
immigration,Cutting $t$ from outside EU is not a good thing . Cutting down bogus colleges is . # BattleForNumber10 # $t$,1#20,0,581201696338141184,topic keyword
housing,London has enough $t$ for the English it doesn ' t have enough $t$ for immigrants # bbcsp # london # immigration,3#13,-1,564393094679126016,topic keyword
immigration,"With even a Tory talking about 13 , 000 more NHS patients $t$ wasn ' t brought up . That ' s because $t$ is non - issue here . # bbcqt",12#23,0,573635690174480384,topic keyword
dc,"$t$ on the ropes about # immigration figures . EM wants a live public debate 1 week before # GE2015 $t$ : ' let ' s debate here ', Clegg nods # PMQs",0#20,0,573094250583339008,ne
minimum wage,# bbcdp A $t$ of £12 would raise a lot of tax from tax avoiding big business . $t$ jobs are subsidised by the taxpayer .,3#18,1,581074250792112128,topic keyword
housing,Crazy to let $t$ benefit bill rocket to pay for people in expensive private rented housing instead of building social $t$ # bbcqt,3#20,-1,578699147349491712,topic keyword
dave,# bbcqt @ HumzaYousaf u basically just said red ed n dodgy $t$ r the same . Shame on u when dodgy $t$ makes our nhs a private industry .,12#22,-1,573838781905772544,ne
eu,"2M new jobs , by his admission 1 . 5M immigration from $t$ came to work because of the economy - most new jobs to $t$ workers ? # BattleForNumber10",12#25,-1,581211886571655168,topic keyword
boris,Interesting watching $t$ on old # BBCQT defending Blair over Iraq war . Now he calls TB a “war criminal” .. $t$ has no shame,2#21,-1,578578011626336256,ne
nuclear,"# bbcqt $t$ deterrent ..... Phew , I ' m glad that we haven ' t been involved in any wars since we had $t$ capability .... # Trident",2#24,-1,573623229887180800,topic keyword
eu,# bbcqt does @ LeanneWood realise that bob crow & tony benn were anti $t$ . You can want to leave $t$ and be for unions & workers,14#21,-1,581240342076325888,topic keyword
austerity,"Does @ LeanneWood have anything to say other than : $t$ , food banks , Wales , $t$ , bankers and $t$ ? # bbcqt",10#17#21,0,581228628291244032,topic keyword
eu,# BattleForNumber10 Reform $t$ membership ?? you didn ' t even know when a bill was coming from the $t$ do you know what to reform ?? Uncle Tom,3#19,-1,581203799538343936,topic keyword
eu,Why cut immigration from outside $t$ but let thousands of unskilled migrants in from ex communist countries now in $t$ ? # BattleForNumber10,5#19,-1,581202622872449024,topic keyword
labour,Corrupt war criminal Tony # Blair ' s rats are running amok inside $t$ today . If I was thinking of voting $t$ today . I ' d stop . # GE15,13#22,-1,577548937487335424,party keyword
lab,DC claims hadn ' t seen books b4 raising VAT but won ' t allow the OBR to analyse $t$ plans for economy . $t$ not seen books ! # BattleForNumber10,19#24,0,581206438447595520,ne
uk,# bbcqt # bolton Y shd $t$ share mansion tax proceeds w Scots when 40 + % didn ' t want 2remain w $t$ ? 3 words . NORTH SEA OIL . Shut up silly man .,6#23,0,581484349654200320,ne
eu,Cameron wake up $t$ will not reform the way you want Free movement of people is $t$ no1 stop fooling the public # BattleForNumber10,3#16,-1,581208862545547264,topic keyword
snp,@ Peter __ Jackson which was $t$ response to criticism in # indyref and $t$ riding high despite no longer high oil price they relied on # GE2015,6#14,0,571361677377200129,party keyword
austerity,"As Tories unveil another $t$ budget , only one party goes into # GE15 with similar plans for $t$ Max . The SNP by scrapping Barnett",4#18,-1,578210846515589120,topic keyword
vat,"Tories totally stumped on $t$ , Priti Patel hasnt a leg to stand on as they put up $t$ in 2010 only a few wks after saying they wouldnt # bbcdp",4#18,-1,580695378690990080,topic keyword
economy,@ Real _ Ian _ Brown We can with stable $t$ We needed to effect cuts during global $t$ & as mentioned we could produce when needed # bbcdp,10#18,1,573819460794060801,topic keyword
mp,@ nsoamesmp To many $t$ ' s in Sussex Could have just 3 or 4 $t$ ' s for whole of # Sussex Massive saving for # taxpayers # Moneyforoldrope # GE2015,4#15,-1,571692143678504960,ne
housing,2 candidates confirmed for Wirral West ' s $t$ Hustings ! https :// t . co / UAqJ7XS7OL # ge15 # $t$ # renting # housingcrisis # wirral,8#21,0,575610269583409152,topic keyword
scotland,My old mums got a NHS $t$ pillowcase on her Hosp bed in Kent . Might have a problem ring fencing $t$ from the rest of NHS # bbcqt,6#21,0,573629507346829312,ne
vat,"Cameron 2010 : "" We have absolutely no plans to raise $t$ ."" Up to 20% nine weeks later . Patel today : "" Our plans are not to raise $t$ ."" # bbcdp",11#30,-1,580696099289194497,topic keyword
police,"Will you reverse police cuts ? "" The $t$ have done such a good job ... We ' ve got to back the $t$ .."" no then . # cameron # BattleForNumber10",8#23,1,581207290583367680,topic keyword
rich,"@ Channel4News What lame bloody questions !! $t$ kept $t$ , Historical MP abuse , further education cuts , etc # BattleForNumber10",7#9,-1,581208660212367361,ne
housing,Only the @ TheGreenParty will tackle Britain ' s $t$ crisis http :// t . co / zoBzJkSqVB # $t$ # housingcrisis # VoteGreen2015 # UKelection,9#19,-1,581773410759516160,topic keyword
zero hours,"Paxman repeatedly asking David Cameron "" could you live on a $t$ contract "". Replies 1 in 50 new jobs are $t$ # BattleForNumber10",11#21,-1,581200641672011776,topic keyword
vat,I just cannot trust Cameron on $t$ . Him and Osborne are very careful to say ' we have no plans to raise $t$ ' # BattleForNumber10,6#23,0,581202556787027968,topic keyword
good,$t$ to see a robust defence of Britain ' s position in the # EU . We ' re better off in . $t$ not to bow to # UKIP ' s agenda . # BattleForNumber10,0#23,1,581213016064200704,ne
uk,I vote for the party that allows $t$ residents who pay taxes to vote in GE although they may not be $t$ citizens # BattleForNumber10,7#21,0,581207150460047360,ne
