target,text,indices,label
cord,i charge it at night and skip taking the $t$ with me because of the good battery life .,9,0
battery life,i charge it at night and skip taking the cord with me because of the good $t$ .,16,1
tech guy,"the $t$ then said the service center does not do 1-to-1 exchange and i have to direct my concern to the "" sales "" team , which is the retail shop which i bought my netbook from .",1,0
service center,"the tech guy then said the $t$ does not do 1-to-1 exchange and i have to direct my concern to the "" sales "" team , which is the retail shop which i bought my netbook from .",6,-1
""" sales","the tech guy then said the service center does not do 1-to-1 exchange and i have to direct my concern to the $t$ "" team , which is the retail shop which i bought my netbook from .",22,-1
team,"the tech guy then said the service center does not do 1-to-1 exchange and i have to direct my concern to the "" sales "" $t$ , which is the retail shop which i bought my netbook from .",25,-1
quality,"it is of high $t$ , has a killer gui , is extremely stable , is highly expandable , is bundled with lots of very good applications , is easy to use , and is absolutely gorgeous .",4,1
gui,"it is of high quality , has a killer $t$ , is extremely stable , is highly expandable , is bundled with lots of very good applications , is easy to use , and is absolutely gorgeous .",9,1
applications,"it is of high quality , has a killer gui , is extremely stable , is highly expandable , is bundled with lots of very good $t$ , is easy to use , and is absolutely gorgeous .",26,1
use,"it is of high quality , has a killer gui , is extremely stable , is highly expandable , is bundled with lots of very good applications , is easy to $t$ , and is absolutely gorgeous .",31,1
start up,easy to $t$ and does not overheat as much as other laptops .,2,1
features,"i even got my teenage son one , because of the $t$ that it offers , like , ichat , photobooth , garage band and more !",11,1
ichat,"i even got my teenage son one , because of the features that it offers , like , $t$ , photobooth , garage band and more !",18,1
photobooth,"i even got my teenage son one , because of the features that it offers , like , ichat , $t$ , garage band and more !",20,1
garage band,"i even got my teenage son one , because of the features that it offers , like , ichat , photobooth , $t$ and more !",22,1
features,great laptop that offers many great $t$ !,6,1
gui,"one night i turned the freaking thing off after using it , the next day i turn it on , no $t$ , screen all dark , power light steady , hard drive light steady and not flashing as it usually does .",21,-1
screen,"one night i turned the freaking thing off after using it , the next day i turn it on , no gui , $t$ all dark , power light steady , hard drive light steady and not flashing as it usually does .",23,-1
power light,"one night i turned the freaking thing off after using it , the next day i turn it on , no gui , screen all dark , $t$ steady , hard drive light steady and not flashing as it usually does .",27,0
hard drive light,"one night i turned the freaking thing off after using it , the next day i turn it on , no gui , screen all dark , power light steady , $t$ steady and not flashing as it usually does .",31,-1
battery,i took it back for an asus and same thing blue screen which required me to remove the $t$ to reset .,18,0
rubber enclosure,"in the shop , these macbooks are encased in a soft $t$ - so you will never know about the razor edge until you buy it , get it home , break the seal and use it ( very clever con ) .",11,1
edge,"in the shop , these macbooks are encased in a soft rubber enclosure - so you will never know about the razor $t$ until you buy it , get it home , break the seal and use it ( very clever con ) .",22,-1
multi-touch gestures,"however , the $t$ and large tracking area make having an external mouse unnecessary ( unless you ' re gaming ) .",3,1
tracking area,"however , the multi-touch gestures and large $t$ make having an external mouse unnecessary ( unless you ' re gaming ) .",7,1
external mouse,"however , the multi-touch gestures and large tracking area make having an $t$ unnecessary ( unless you ' re gaming ) .",12,0
gaming,"however , the multi-touch gestures and large tracking area make having an external mouse unnecessary ( unless you ' re $t$ ) .",20,0
suite of software,i love the way the entire $t$ works together .,6,1
speed,the $t$ is incredible and i am more than satisfied .,1,1
windows 7,this laptop meets every expectation and $t$ is great !,6,1
usb devices,i can barely use any $t$ because they will not stay connected properly .,5,-1
software,when i finally had everything running with all my $t$ installed i plugged in my droid to recharge and the system crashed .,9,0
system,when i finally had everything running with all my software installed i plugged in my droid to recharge and the $t$ crashed .,20,-1
microsoft office for the mac,"one suggestion i do have , is to not bother getting $t$ expecting it will work just like you knew it to on a pc .",11,-1
syncing,pairing it with an iphone is a pure pleasure - talk about painless $t$ - used to take me forever - now it ' s a snap .,13,1
30,"i also got the added bonus of a $t$ "" hd monitor , which really helps to extend my screen and keep my eyes fresh !",8,1
hd monitor,"i also got the added bonus of a 30 "" $t$ , which really helps to extend my screen and keep my eyes fresh !",10,1
screen,"i also got the added bonus of a 30 "" hd monitor , which really helps to extend my $t$ and keep my eyes fresh !",19,0
boot up,the machine is slow to $t$ and occasionally crashes completely .,5,-1
service,"after paying several hundred dollars for this $t$ , it is frustrating that you cannot get help after hours .",7,-1
operating system,i love the $t$ and the preloaded software .,3,1
preloaded software,i love the operating system and the $t$ .,7,1
price,the best thing about this laptop is the $t$ along with some of the newer features .,8,1
features,the best thing about this laptop is the price along with some of the newer $t$ .,15,1
clock in bios setup,"after numerous attempts of trying ( including setting the $t$ directly ) , i gave up ( i am a techie ) .",9,-1
warranty service,you will not be able to talk to an american $t$ is out of country .,10,-1
brand,but now i have realized its a problem with this $t$ .,10,-1
warranty,i sent it back to toshiba twice they covered it under the $t$ .,12,1
features,i was looking for a mac which is portable and has all the $t$ that i was looking for .,13,1
fan,also kinda loud when the $t$ was running .,5,-1
customer service number,"in desparation , i called their $t$ and was told that my warranty had expired ( 2 days old ) and that the priviledge of talking to a technician would cost me ( "" have your credit card ready "" ) .",6,0
warranty,"in desparation , i called their customer service number and was told that my $t$ had expired ( 2 days old ) and that the priviledge of talking to a technician would cost me ( "" have your credit card ready "" ) .",14,-1
talking to a technician,"in desparation , i called their customer service number and was told that my warranty had expired ( 2 days old ) and that the priviledge of $t$ would cost me ( "" have your credit card ready "" ) .",27,-1
hard disc,there also seemed to be a problem with the $t$ as certain times windows loads but claims to not be able to find any drivers or files .,9,-1
windows,there also seemed to be a problem with the hard disc as certain times $t$ loads but claims to not be able to find any drivers or files .,14,-1
drivers,there also seemed to be a problem with the hard disc as certain times windows loads but claims to not be able to find any $t$ or files .,25,0
drivers,$t$ updated ok but the bios update froze the system up and the computer shut down .,0,1
bios update,drivers updated ok but the $t$ froze the system up and the computer shut down .,5,-1
system,drivers updated ok but the bios update froze the $t$ up and the computer shut down .,9,-1
hp technical support,spent 2 hours on phone with $t$ .,6,0
browser,"speaking of the $t$ , it too has problems .",3,-1
keyboard,the $t$ is too slick .,1,-1
virus scan,nightly my computer defrags itself and runs a $t$ .,8,0
9 punds,"it ' s like $t$ , but if you can look past it , it ' s great !",4,-1
program,it ' s just as fast with one $t$ open as it is with sixteen open .,8,0
warrenty,"still under $t$ so called toshiba , no help at all .",2,-1
toshiba warranty,i was happy with my purchase of a toshiba satellite l305d-s5934 laptop until it came time to have it repaired under the $t$ .,22,-1
quality,amazing $t$ !,1,1
webcam,the fact that you can spend over $100 on just a $t$ underscores the value of this machine .,11,0
value,the fact that you can spend over $100 on just a webcam underscores the $t$ of this machine .,14,1
internet,"i mainly use it for email , $t$ , and managing personal files ( pics , vids , etc . ) .",7,0
managing personal files,"i mainly use it for email , internet , and $t$ ( pics , vids , etc . ) .",10,0
motherboard,"a month or so ago , the freaking $t$ just died .",8,-1
system,"the $t$ it comes with does not work properly , so when trying to fix the problems with it it started not working at all .",1,-1
charger,then after 4 or so months the $t$ stopped working so i was forced to go out and buy new hardware just to keep this computer running .,7,-1
hardware,then after 4 or so months the charger stopped working so i was forced to go out and buy new $t$ just to keep this computer running .,20,-1
force quit,"if a website ever freezes ( which is rare ) , its really easy to $t$ .",15,1
works,it rarely $t$ and when it does it ' s incredibly slow .,2,-1
windows 7,i also enjoy the fact that my macbook pro laptop allows me to run $t$ on it by using the vmware program .,14,1
vmware program,i also enjoy the fact that my macbook pro laptop allows me to run windows 7 on it by using the $t$ .,21,0
navigate,"it ' s so much easier to $t$ through the operating system , to find files , and it runs a lot faster !",7,1
