target,text,indices,label
jimmy carter,"i agree about arafat . i mean , shit , they even gave one to $t$ ha . it should be called '' the worst president '' prize .",15,-1
britney spears,musicmonday $t$ - lucky do you remember this song ? it ` s awesome . i love it .,1,1
hilary swank,"wtf ? $t$ is coming to my school today , just to chill . lol wow",2,0
wii,my 3-year-old was amazed yesterday to find that ' real ' 10 pin bowling is nothing like it is on the $t$ ...,21,0
google,God damn . That Sony remote for $t$ is fucking hideeeeeous !,7,-1
britney spears,listening 2 '' 3 '' by ms $t$ cant wait 4 the video on oct . 19 you guys need 2 love her new single also buy her single collection nov . 24 !,7,1
hilary swank,gerard butler is hot ... 1 . his accent 2 . that romantic movie with $t$ where he was dead 3 . sex scene in the 300,15,0
wii,"no one likes pe at school . all pupils should have to do it in the traditional way . $t$ fit is fun but in schools , madness",19,0
harry potter,izašao je you '' videoteci '' novi $t$ i public enemy : -RRB-,7,-1
britney spears,3 by $t$ is an amazing song,2,1
hillary clinton,"people whose reactions I 'd appreciate this morning : bill clinton 's , $t$ ' is ... george bush 's -LRB- latter for completely difference reasons -RRB-",13,0
lady gaga,NowPlaying $t$ - let love down,1,0
obama,The $t$ domestic genocide hug .,1,-1
justin timberlake,"Paramore , incubus , $t$ , a7x , the strokes , motley crue pilih yg mana yaah bingung cc buckupshow",4,1
madonna,okay maybe just a little shocked xD omg nicolerichie the $t$ fans are outraged at what you did,10,0
george bush,he might have got the nobel prize just for not being $t$,11,0
perez hilton,"People i followed today '' Omarion , Natalie Nunn and any PAST BGC cast , Chingy and $t$ '' what a list of Wackness",17,-1
britney spears,tomorrow we have art class ! love it ! lsning to $t$ - piece of me,11,1
barack obama,Waitrose dumps Fox News in protest over -LSB- Glen Beck -RSB- remarks about $t$,13,0
iphone,"downloaded blacksn0w for my $t$ . the jailbroken features are cool , but the bugs and connection problems are n't worth it .",4,0
nicki minaj,$t$ has brought back the female rapper . - really ? nicki minaj is the biggest parody in popular music since the Lonely Island .,0,-1
wii,my day off after a wedding consist of $t$ zelda and chinese food . i feel like i 'm in jr high . this rocks !!,8,1
ipod,7 inch touch screen 2 din in dash car dvd player with television bluetooth gps $t$ function dual zone szc1085 : o . .,15,0
george bush,"do n't get me wrong , i am a huge obama supporter but it feels forced or like an '' at least you 're not $t$ award ''",25,0
charlie sheen,FF MarkieAi Likes animals . Hates spiders . Hates $t$ . Likes cookies .,9,-1
maradona,ESPN Soccer Net News Ardiles backs $t$ for World Cup glory,6,1
anderson cooper,There 's a firefighter in my class who looks just like $t$ but buffer and supposedly straight . notcomplaining,11,0
ipod,-LSB- happy birthday git * git ! -RSB- ily ! ... some reason im very tired ! but today was really fun ! :-RRB- ugh my $t$ died !,26,0
jt,"`` SkyJacquie : Is everyone happy $t$ is back as England Captain ? '' NO ! It 's a farce but that 's England . Capello , another expensive FA failure",6,-1
google wave,omg !! $t$ is amazing !!! olo worms plotting stuff in real time . we could meet up in person . . but we all hate each other .,2,1
barack obama,$t$ and John McCain clash over Afghanistan strategy : barack obama reacted angrily after John McCain a . .,0,0
psp,do you know how to convert youtube videos to $t$ compatible ones through linux command ? thank you in advance : -RRB-,9,0
sarah palin,`` FrameMaker has detected a serious error and must quit . '' So how long has $t$ been writing code for Adobe ?,16,-1
hilary swank,$t$ as amelia earhart is actually pretty great casting .,0,1
britney spears,they even have red costumes on like $t$,7,0
psp,$t$ is being a brat with text . can someone add some writing on something for me right quick ? does n't need to be pretty .,0,0
shaq,ABOVE THE RIM : some mean basketball but misses the layup with hammy acting & a script that 's the equivalent to $t$ 's art creation,22,-1
dave matthews,The $t$ Band is so damn good . Give me the Chili Peppers and dave matthews Band and I 'm set for a very long while . RHCP DMB,1,1
wii,press start : the faces of ' ballad of gay tony ' ; $t$ update woes extract not available .,13,0
britney spears,i love bad romance and fashion and 3 by $t$ i love you both lady gag too girl ! her concerts r better than the record !!,9,0
serena williams,Video : $t$ gets x-rated for new tennis game ad ! .,2,-1
anderson cooper,"I love $t$ ; he is so sensible , honorable and reliable as always . ac360",2,1
ipod,shorty like a melody in my head that i keep singing like la la la everyday like an $t$ stuck in replay :-RRB- love that song,18,0
iphone,bought one of those rechargable $t$ backup battery packs ... no more fear : - -RRB-,5,0
russell brand,". probably the most insightful , eloquent , and intelligent interview i 've ever seen . $t$ an intellectual ? damn",16,-1
sarah palin,~ I am an ' Independent Thinker ' and President R . Reagan was a great president . ... I support $t$ .,21,1
google wave,"-LSB- gwaveblogs -RSB- ultimate list of $t$ gadgets and tools - google wave , google wave extension , google wave gadge ...",6,0
joe biden,Rumors Swirl About Biden Sleeping During Obama Speech : Vice President $t$ was caught with his eyes closed ... .,11,0
britney spears,omg what has the world come to !? they sang $t$ !!!! awful !!!! :,10,-1
britney spears,"good to see $t$ the top of the charts again , she needs a break i think , but i hope she can handle the success this time . .",3,1
justin bieber,best joke of the day : $t$ is gay : D,6,0
madonna,"Guy Ritchie has revealed he has struggled to cope with his divorce from $t$ , and admits he still loves her .",13,0
lindsay lohan,"wow , $t$ is looking like garbage . what 's she doing to herself ?",2,-1
lindsay lohan,- this is sad because i actually love $t$ ... what happen ????,8,1
bill gates,I sure would love to meet the guy who created the first computer . . $t$ brother . . lol,15,0
iphone,you doing police training on 7pm project last night was funny shit . you are a funny bugger . good luck with $t$,22,0
harry potter,LMAO i know !! i dnt like $t$ he 's so English !! hehehe its raining here too SMDH,7,-1
britney spears,"i love $t$ . yes , i said it .",2,1
britney spears,"e ainda : oh novo clipe do the all american rejects - '' i wan na '' , bandahori , dionne bromfield , $t$ , beyonce e lady gag",23,0
hilary swank,"celeb rumors update ! , $t$ wants a baby -",5,0
obama,Fox : High-Profile Conservative Group Files Lawsuit Against $t$ Administration Over Health Care Waivers .,8,-1
harry potter,"i love $t$ , but i have to agree with anderson . feminism is not a leading theme in the series ...",2,1
ryan seacrest,"ahH Harvey why would you ever want to kiss $t$ ass ? i hate ass-kissers , don scoop that low TMZ",9,0
barack obama,How could $t$ get that Nobel Price ! His preach about a world without nuclear weapon is just pure rhetoric !,2,0
britney spears,i don think any of $t$ ' new music can even be classified as singing ... it 's all computerized !,5,-1
britney spears,really liking the new $t$ and mj songs : -RRB-,4,1
hillary clinton,"she deserves a NPP Thank you Secretary of State $t$ , for helping us resolve the feud ! =",9,0
google wave,woohoo . just got my $t$ invite . thank you toddramsey .,5,0
micheal jackson,"This is bad , real bad ... $t$ ...",7,-1
obama,"Thank you President $t$ for passing healthcare reform ! with out extension to 26 , I 'd have no healthcare . heathcarereformbirthday",3,1
xbox,- 11/07/09 : $t$ 360 men 's sleep shorts ? yes please . so much stuff at the tucson comic-con .,3,0
katy perry,"My last 3 downloads were Good Charlotte , $t$ and Adele . I think I may be turning into a 13 year old girl . Got ta buy some lip gloss .",8,0
lady gaga,Photo : lovelyasadove : I do n't like $t$ at all ! She is a true devilworshiper ! I just do n't like her ! I 'm ... .,8,-1
google wave,"do n't know if anyone is doing it , but $t$ seems to be a good place for newsrooms to collaborate in real-time for elections .",10,1
wii,new post : $t$ perfect shot gun -LRB-,3,0
micheal jackson,I remember when i used to make $t$ jokes on the phone with bleahr ... Ahhhh those where the good days ...,7,0
micheal jackson,kraima I thought all the $t$ faces were going to melt plucka - lucky one was a Plastic Surgeon ... ha !!!,5,-1
britney spears,listening to $t$ ' 3 ! awesome song . sounds like an orgasm !,2,1
barack obama,"Former AMA Presidents Offer Second Opinion : President $t$ pitched his health care reform plan , again , . .",8,0
iphone,"i realize i can do all that if i jailbreak it , but i should n't have to do that and suffer as an honest $t$ user .",25,0
harry potter,i HATE $t$,2,-1
john legend,"Rick Ross feat . $t$ - Magnificent makes me envision myself on a yahct dressed in all white smoking a cigar , and I do n't even smoke !",4,1
martha stewart,Reading right now - ' $t$ Weddings ' chapter on flowers . I 'm in creative inspirational heaven ! - What are you reading right now ?,5,0
britney spears,$t$ bikini pictures are not bad,0,0
lindsay lohan,was $t$ ' s ungaro collection really as bad as everyone said - by josh partner - slate magazine,1,-1
iphone,- $t$ day ! double epic woohoo woohoo ! spint it has been a good run . thanks,1,1
justin timberlake,"$t$ . Get the N'sync boys back together and marry me . Please . Also , grow your hair curly again and die it blonde . Thanks < 3",0,0
madonna,I just woke up from a dream in which I was shopping with $t$ & she tried to set me up with Seth Rogen .,13,0
lindsay lohan,aaaaaaaand the $t$ debacle continues ...,2,-1
wii,having a good $t$,3,1
lindsay lohan,$t$ ' s day in court | gossipcenter - celebrity gossip and ... : breaking news ; hottest stories ; more gossip . courteney cox : & . .,0,0
steve jobs,How to make your presentations enthralling and packed with impact : Deliver them like $t$ :,14,0
ellen degeneres,if this retarded $t$ look alike bitch don get the fuck up out my mentions . all hell is gon na break loose .,3,-1
ipad,Mmmm & I forgot how much I love having a $t$ . Even if it is slightly pointless !,10,1
steve jobs,Magical $t$ to help Disney stores become mini theme parks,1,0
hillary clinton,say what you will about $t$ . the woman has a gift for retaining info and is a master interviewee . watching her on '' amanpour . '',5,0
kim kardashian,ill order a bitch with a $t$ ass trina attitude and monica face is that on the menu ?,6,-1
harry potter,I won 6 achievements in $t$,5,1
britney spears,$t$ releases '' 3 '' and a year and a half ago was just a hot mess and we say legend . gag creates art . we call her dude ?,0,0
xbox,"$t$ + $ 100 gift card for $ 200 this weekend ! hello , beatles rock band :",0,0
mandy moore,$t$ nude video Check out the latest mandy moore nude sex videos and other funny videos from ... mandy moore fansite with latest picture,0,-1
al gore,A leopard never changes his stripes . -LRB- $t$ -RRB- WisdomTweets .,8,1
